Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,726
design__inferred_latch__count,0
design__instance__count,231540
design__instance__area,1.24828E+6
design__instance_unmapped__count,0
synthesis__check_error__count,33
design__max_slew_violation__count__corner:nom_tt_025C_1v80,31
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,10
power__internal__total,0.006703849416226149
power__switching__total,0.0030897597316652536
power__leakage__total,9.857901659415802E-7
power__total,0.009794594720005989
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.4058009321210734
clock__skew__worst_setup__corner:nom_tt_025C_1v80,1.0982586262388563
timing__hold__ws__corner:nom_tt_025C_1v80,0.35513004653277896
timing__setup__ws__corner:nom_tt_025C_1v80,5.562354290162791
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.355130
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,27.909164
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1449
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,12
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.4855578299091649
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.1700686306586543
timing__hold__ws__corner:nom_ss_100C_1v60,0.5995852872796527
timing__setup__ws__corner:nom_ss_100C_1v60,4.32615555623896
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.984323
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,14.553657
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,31
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,10
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.3757697315225299
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,1.0727125047420403
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10894851995609289
timing__setup__ws__corner:nom_ff_n40C_1v95,6.027244651750228
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.108949
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,31.949213
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,2023
design__max_fanout_violation__count,0
design__max_cap_violation__count,17
clock__skew__worst_hold,-0.3674654851080785
clock__skew__worst_setup,1.0655063799523026
timing__hold__ws,0.10691292598287215
timing__setup__ws,4.263736151493933
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.106913
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,14.375795
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1098.87 1109.59
design__core__bbox,5.52 10.88 1092.96 1096.16
design__io,130
design__die__area,1.2193E+6
design__core__area,1.18018E+6
design__instance__count__stdcell,32838
design__instance__area__stdcell,257748
design__instance__count__macros,1
design__instance__area__macros,284279
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.459276
design__instance__utilization__stdcell,0.287698
design__rows,512
design__rows:unithd,512
design__sites,770459
design__sites:unithd,770459
design__instance__count__class:macro,1
design__instance__area__class:macro,284279
design__instance__count__class:buffer,3
design__instance__area__class:buffer,12.512
design__instance__count__class:inverter,310
design__instance__area__class:inverter,1163.62
design__instance__count__class:sequential_cell,3498
design__instance__area__class:sequential_cell,86480.4
design__instance__count__class:multi_input_combinational_cell,10311
design__instance__area__class:multi_input_combinational_cell,102029
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,3
flow__warnings__count:ORD-2011,1
flow__warnings__count:ORD-2056,1
flow__warnings__count:STA-0441,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,198701
design__instance__area__class:fill_cell,706250
design__instance__count__class:tap_cell,13749
design__instance__area__class:tap_cell,17202.7
flow__warnings__count:PDN-0231,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,128
design__io__hpwl,40345412
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,92
timing__drv__floating__pins,0
design__instance__displacement__total,14496.7
design__instance__displacement__mean,0.43
design__instance__displacement__max,18.015
route__wirelength__estimated,678488
design__violations,0
design__instance__count__class:timing_repair_buffer,4066
design__instance__area__class:timing_repair_buffer,40971.8
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,14
design__instance__count__class:clock_buffer,641
design__instance__area__class:clock_buffer,8448.1
design__instance__count__class:clock_inverter,106
design__instance__area__class:clock_inverter,1054.76
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,3073
global_route__vias,84
global_route__wirelength,1176801
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,66
design__instance__count__class:antenna_cell,154
design__instance__area__class:antenna_cell,385.37
route__net,18767
route__net__special,2
route__drc_errors__iter:0,81
route__wirelength__iter:0,849492
route__drc_errors__iter:1,2
route__wirelength__iter:1,849477
route__drc_errors__iter:2,3
route__wirelength__iter:2,849471
route__drc_errors__iter:3,0
route__wirelength__iter:3,849468
route__drc_errors__iter:4,0
route__wirelength__iter:4,849466
route__drc_errors__iter:5,1
route__wirelength__iter:5,849391
route__drc_errors,0
route__wirelength,849468
route__vias,151651
route__vias__singlecut,151651
route__vias__multicut,0
route__drc_errors__iter:6,0
route__wirelength__iter:6,849390
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,40
design__critical_disconnected_pin__count,0
route__wirelength__max,1495.73
timing__unannotated_net__count__corner:nom_tt_025C_1v80,394
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,394
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,394
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,31
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,10
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.39407753176098365
clock__skew__worst_setup__corner:min_tt_025C_1v80,1.088763332529902
timing__hold__ws__corner:min_tt_025C_1v80,0.3502664923912528
timing__setup__ws__corner:min_tt_025C_1v80,5.6009047873817375
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.350266
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,28.193998
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,394
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,842
design__max_fanout_violation__count__corner:min_ss_100C_1v60,0
design__max_cap_violation__count__corner:min_ss_100C_1v60,10
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.4635969239715921
clock__skew__worst_setup__corner:min_ss_100C_1v60,1.15110468859409
timing__hold__ws__corner:min_ss_100C_1v60,0.6947995708765844
timing__setup__ws__corner:min_ss_100C_1v60,4.399734034964699
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.976374
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,14.699207
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,394
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,31
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,0
design__max_cap_violation__count__corner:min_ff_n40C_1v95,10
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.3674654851080785
clock__skew__worst_setup__corner:min_ff_n40C_1v95,1.0655063799523026
timing__hold__ws__corner:min_ff_n40C_1v95,0.10770018515189905
timing__setup__ws__corner:min_ff_n40C_1v95,6.054957595585487
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.107700
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,32.115257
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,394
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,44
design__max_fanout_violation__count__corner:max_tt_025C_1v80,0
design__max_cap_violation__count__corner:max_tt_025C_1v80,10
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.415034768300334
clock__skew__worst_setup__corner:max_tt_025C_1v80,1.106840095350397
timing__hold__ws__corner:max_tt_025C_1v80,0.359679740616367
timing__setup__ws__corner:max_tt_025C_1v80,5.524901581501641
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.359680
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,27.618773
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,394
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,2023
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,17
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.5018732238512772
clock__skew__worst_setup__corner:max_ss_100C_1v60,1.185777620767566
timing__hold__ws__corner:max_ss_100C_1v60,0.47755223349678405
timing__setup__ws__corner:max_ss_100C_1v60,4.263736151493933
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.993115
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,14.375795
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,394
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,31
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,10
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.3820685265197316
clock__skew__worst_setup__corner:max_ff_n40C_1v95,1.0784549114547153
timing__hold__ws__corner:max_ff_n40C_1v95,0.10691292598287215
timing__setup__ws__corner:max_ff_n40C_1v95,5.999808819589752
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.106913
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,31.777241
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,394
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,394
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79946
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79997
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000535655
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000494259
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000263895
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000494259
design_powergrid__voltage__worst,0.000494259
design_powergrid__voltage__worst__net:VPWR,1.79946
design_powergrid__drop__worst,0.000535655
design_powergrid__drop__worst__net:VPWR,0.000535655
design_powergrid__voltage__worst__net:VGND,0.000494259
design_powergrid__drop__worst__net:VGND,0.000494259
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00002689999999999999994739451059100332486195839010179042816162109375
ir__drop__worst,0.00053600000000000001809663530139005160890519618988037109375
magic__drc_error__count,4764805
klayout__drc_error__count,12
magic__illegal_overlap__count,70
design__lvs_device_difference__count,0
design__lvs_net_difference__count,9
design__lvs_property_fail__count,0
design__lvs_error__count,66
design__lvs_unmatched_device__count,7
design__lvs_unmatched_net__count,9
design__lvs_unmatched_pin__count,41
